Opponent,Wins,Matches,Win %
Brazil,1.5,5,30.00%
Switzerland,2.0,3,66.67%
South Korea,1.5,3,50.00%
Chile,2.0,3,66.67%
Paraguay,2.5,3,83.33%
Italy,0.5,3,16.67%
Netherlands,1.0,2,50.00%
Germany,1.5,2,75.00%
West Germany,0.0,2,0.00%
Uruguay,1.0,2,50.00%
Sweden,1.0,2,50.00%
Northern Ireland,1.0,2,50.00%
Honduras,1.5,2,75.00%
Yugoslavia,1.0,2,50.00%
Belgium,1.0,2,50.00%
England,1.5,2,75.00%
France,0.0,1,0.00%
South Africa,1.0,1,100.00%
Australia,1.0,1,100.00%
Austria,0.0,1,0.00%
United States,1.0,1,100.00%
Ukraine,1.0,1,100.00%
Tunisia,1.0,1,100.00%
Bolivia,1.0,1,100.00%
Bulgaria,1.0,1,100.00%
Slovenia,1.0,1,100.00%
Saudi Arabia,1.0,1,100.00%
Republic of Ireland,1.0,1,100.00%
Portugal,1.0,1,100.00%
Czechoslovakia,0.0,1,0.00%
Denmark,1.0,1,100.00%
Nigeria,0.0,1,0.00%
Argentina,0.0,1,0.00%
Mexico,1.0,1,100.00%
Algeria,1.0,1,100.00%
