Opponent,Wins,Matches,Win %
Argentina,0.5,3,16.67%
Italy,0.0,2,0.00%
Wales,0.5,2,25.00%
Sweden,1.0,2,50.00%
Soviet Union,0.0,2,0.00%
France,0.0,2,0.00%
Bulgaria,2.0,2,100.00%
Brazil,2.0,2,100.00%
West Germany,1.0,2,50.00%
Czechoslovakia,0.0,1,0.00%
Dutch West Indies,1.0,1,100.00%
Egypt,1.0,1,100.00%
El Salvador,1.0,1,100.00%
England,1.0,1,100.00%
Austria,0.0,1,0.00%
Canada,1.0,1,100.00%
Mexico,1.0,1,100.00%
Portugal,0.0,1,0.00%
South Korea,1.0,1,100.00%
Switzerland,1.0,1,100.00%
Uruguay,1.0,1,100.00%
Belgium,0.5,1,50.00%
