Opponent,Wins,Matches,Win %
Italy,2,5,40.00%
Brazil,3,4,75.00%
Mexico,2,4,50.00%
West Germany,1,3,33.33%
Uruguay,0,3,0.00%
Argentina,0,2,0.00%
Hungary,2,2,100.00%
Switzerland,1,2,50.00%
South Africa,1,2,50.00%
Paraguay,2,2,100.00%
Northern Ireland,2,2,100.00%
Austria,1,2,50.00%
Nigeria,2,2,100.00%
Yugoslavia,0,2,0.00%
Belgium,2,2,100.00%
England,0,2,0.00%
Denmark,1,2,50.00%
Germany,0,2,0.00%
Croatia,1,1,100.00%
Canada,1,1,100.00%
Togo,1,1,100.00%
Chile,0,1,0.00%
Spain,1,1,100.00%
Soviet Union,0,1,0.00%
South Korea,0,1,0.00%
Honduras,1,1,100.00%
Senegal,0,1,0.00%
Saudi Arabia,1,1,100.00%
Portugal,1,1,100.00%
Poland,0,1,0.00%
Czechoslovakia,0,1,0.00%
Ecuador,0,1,0.00%
Kuwait,1,1,100.00%
Scotland,1,1,100.00%
