Opponent,Wins,Matches,Win %
Argentina,1.0,4,25.00%
United States,2.0,3,66.67%
Soviet Union,1.0,3,33.33%
South Korea,2.5,3,83.33%
Mexico,0.5,3,16.67%
Russia,2.0,2,100.00%
El Salvador,2.0,2,100.00%
England,0.5,2,25.00%
France,0.0,2,0.00%
Germany,0.0,2,0.00%
Spain,1.0,2,50.00%
Netherlands,1.5,2,75.00%
Paraguay,0.5,2,25.00%
Algeria,1.0,1,100.00%
Tunisia,0.5,1,50.00%
Saudi Arabia,0.0,1,0.00%
Morocco,1.0,1,100.00%
Poland,0.0,1,0.00%
Japan,0.5,1,50.00%
Italy,0.0,1,0.00%
Iraq,1.0,1,100.00%
Hungary,0.5,1,50.00%
Brazil,0.0,1,0.00%
Uruguay,1.0,1,100.00%
