Opponent,Wins,Matches,Win %
Brazil,0,4,0.00%
France,1,4,25.00%
Netherlands,0,3,0.00%
Belgium,2,3,66.67%
Argentina,0,3,0.00%
Italy,0,3,0.00%
Bulgaria,1,2,50.00%
West Germany,0,2,0.00%
Croatia,2,2,100.00%
Uruguay,0,2,0.00%
Spain,0,1,0.00%
South Africa,0,1,0.00%
South Korea,1,1,100.00%
Soviet Union,0,1,0.00%
Tunisia,0,1,0.00%
Sweden,0,1,0.00%
Switzerland,0,1,0.00%
Portugal,0,1,0.00%
United States,0,1,0.00%
Wales,0,1,0.00%
Republic of Ireland,1,1,100.00%
Angola,0,1,0.00%
Poland,0,1,0.00%
Paraguay,0,1,0.00%
Norway,0,1,0.00%
Iraq,1,1,100.00%
Iran,1,1,100.00%
Hungary,0,1,0.00%
Germany,0,1,0.00%
England,0,1,0.00%
El Salvador,1,1,100.00%
Ecuador,1,1,100.00%
Czechoslovakia,1,1,100.00%
Chile,0,1,0.00%
Cameroon,1,1,100.00%
Yugoslavia,0,1,0.00%
