Opponent,Wins,Matches,Win %
West Germany,1,5,20.00%
Brazil,1,4,25.00%
Colombia,2,2,100.00%
Uruguay,1,2,50.00%
France,2,2,100.00%
Spain,1,2,50.00%
Scotland,0,2,0.00%
Argentina,0,1,0.00%
Poland,0,1,0.00%
United States,1,1,100.00%
United Arab Emirates,1,1,100.00%
Switzerland,1,1,100.00%
Sweden,0,1,0.00%
Soviet Union,0,1,0.00%
Northern Ireland,0,1,0.00%
Paraguay,0,1,0.00%
Bolivia,1,1,100.00%
Netherlands,0,1,0.00%
Mexico,1,1,100.00%
Iran,1,1,100.00%
Honduras,1,1,100.00%
Germany,0,1,0.00%
Czechoslovakia,0,1,0.00%
Chile,0,1,0.00%
Zaire,1,1,100.00%
