Opponent,Wins,Matches,Win %
Cuba,1,1,100.0
Mexico,1,1,100.0
Nigeria,1,1,100.0
Romania,1,1,100.0
Russia,1,1,100.0
Saudi Arabia,1,1,100.0
Soviet Union,1,1,100.0
Yugoslavia,1,1,100.0
Uruguay,2,3,66.66666666666666
Argentina,1,2,50.0
Bulgaria,1,2,50.0
Hungary,1,2,50.0
Italy,1,2,50.0
Paraguay,1,2,50.0
Spain,1,2,50.0
West Germany,1,2,50.0
Brazil,0,7,0.0
England,0,2,0.0
Germany,0,2,0.0
Austria,0,1,0.0
Cameroon,0,1,0.0
Costa Rica,0,1,0.0
Israel,0,1,0.0
Netherlands,0,1,0.0
Poland,0,1,0.0
Scotland,0,1,0.0
Senegal,0,1,0.0
Trinidad and Tobago,0,1,0.0
Wales,0,1,0.0
