Opponent,Wins,Matches,Win %
Brazil,1.0,4,25.00%
Italy,1.5,3,50.00%
Argentina,1.0,2,50.00%
West Germany,0.5,2,25.00%
Portugal,1.0,2,50.00%
Peru,2.0,2,100.00%
Morocco,0.5,1,50.00%
United States,1.0,1,100.00%
Tunisia,1.0,1,100.00%
Sweden,1.0,1,100.00%
Soviet Union,0.5,1,50.00%
South Korea,0.0,1,0.00%
Mexico,1.0,1,100.00%
Belgium,1.0,1,100.00%
Haiti,1.0,1,100.00%
Germany,0.0,1,0.00%
France,1.0,1,100.00%
England,0.0,1,0.00%
Ecuador,0.0,1,0.00%
Costa Rica,1.0,1,100.00%
Cameroon,0.5,1,50.00%
Yugoslavia,1.0,1,100.00%
