Opponent,Wins,Matches,Win %
Italy,1,3,33.33%
West Germany,0,3,0.00%
Sweden,1,3,33.33%
Colombia,1,3,33.33%
England,2,3,66.67%
France,1,3,33.33%
Argentina,1,2,50.00%
Spain,0,2,0.00%
Soviet Union,1,2,50.00%
South Korea,2,2,100.00%
Scotland,1,2,50.00%
Netherlands,0,2,0.00%
Mexico,1,2,50.00%
Yugoslavia,1,2,50.00%
Denmark,0,2,0.00%
Brazil,1,2,50.00%
Hungary,0,1,0.00%
Austria,0,1,0.00%
Ghana,1,1,100.00%
Germany,0,1,0.00%
Peru,1,1,100.00%
Romania,1,1,100.00%
Czechoslovakia,1,1,100.00%
Senegal,0,1,0.00%
South Africa,1,1,100.00%
Costa Rica,0,1,0.00%
Bulgaria,0,1,0.00%
Bolivia,1,1,100.00%
Belgium,0,1,0.00%
Israel,1,1,100.00%
