,index,matchID,roundID,match_date,year,country,city,stadium,attendance,stage,home_name,home_init,away_name,away_init,home_score_half1,away_score_half1,home_score_half2,away_score_half2,home_score_final,away_score_final,winner,winning_score_half1,losing_score_half1,winning_score_half2,losing_score_half2,winning_score_final,losing_score_final,home_result,away_result,home_result_value,away_result_value,England_result_value
59,778,300186513,255931,2014-06-14,2014,Brazil,Manaus,Arena Amazonia,39800.0,Groups,England,ENG,Italy,ITA,1,1,0,1,1,2,Italy,1.0,1.0,1.0,0.0,2.0,1.0,Groups,Groups,1.0,1.0,1.0
58,758,300061501,249717,2010-06-27,2010,South Africa,Bloemfontein,Free State Stadium,40510.0,Round of 16,Germany,GER,England,ENG,2,1,2,0,4,1,Germany,2.0,1.0,2.0,0.0,4.0,1.0,Round of 16,Round of 16,2.0,2.0,2.0
54,702,97410059,97410300,2006-07-01,2006,Germany,Gelsenkirchen,"FIFA World Cup Stadium, Gelsenkirchen",52000.0,Quarterfinals,England,ENG,Portugal,POR,0,0,0,0,0,0,Portugal,0.0,0.0,0.0,0.0,0.0,0.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
49,637,43950057,43950300,2002-06-21,2002,Japan,Fukuroi,Shizuoka Stadium Ecopa,47436.0,Quarterfinals,England,ENG,Brazil,BRA,1,1,0,1,1,2,Brazil,1.0,1.0,1.0,0.0,2.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
44,571,8779,1024,1998-06-30,1998,France,Saint-Étienne,Stade Geoffroy Guichard,30600.0,Round of 16,Argentina,ARG,England,ENG,0,0,2,2,2,2,Argentina,0.0,0.0,2.0,2.0,2.0,2.0,Round of 16,Round of 16,2.0,2.0,2.0
40,462,162,3463,1990-07-07,1990,Italy,Bari,Stadio San Nicola,51426.0,Third place,Italy,ITA,England,ENG,0,0,2,1,2,1,Italy,0.0,0.0,2.0,1.0,2.0,1.0,Third place,Third place,5.0,5.0,5.0
33,407,392,714,1986-06-22,1986,Mexico,Mexico City,Estadio Azteca,114580.0,Quarterfinals,Argentina,ARG,England,ENG,0,0,2,1,2,1,Argentina,0.0,0.0,2.0,1.0,2.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
27,347,879,294,1982-06-29,1982,Spain,Madrid,Santiago Bernabeu,75000.0,Round of 16,West Germany,FRG,England,ENG,0,0,0,0,0,0,Draw,,,,,,,Round of 16,Round of 16,2.0,2.0,2.0
23,225,1811,251,1970-06-14,1970,Mexico,León,Nou Camp - Estadio León,23357.0,Quarterfinals,West Germany,FRG,England,ENG,0,0,3,2,3,2,West Germany,0.0,0.0,3.0,2.0,3.0,2.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
19,199,1633,3478,1966-07-30,1966,England,London,Wembley Stadium,96924.0,Finals,England,ENG,West Germany,FRG,0,0,4,2,4,2,England,0.0,0.0,4.0,2.0,4.0,2.0,Champion,Finals,7.0,6.0,7.0
13,161,1459,232,1962-06-10,1962,Chile,Viña del Mar,Estadio Sausalito,17736.0,Quarterfinals,Brazil,BRA,England,ENG,1,1,2,0,3,1,Brazil,1.0,1.0,2.0,0.0,3.0,1.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
6,102,1372,220,1958-06-08,1958,Sweden,Gothenburg,Nya Ullevi,49348.0,Groups,Soviet Union,URS,England,ENG,1,0,1,2,2,2,Draw,,,,,,,Groups,Groups,1.0,1.0,1.0
5,93,1264,212,1954-06-26,1954,Switzerland,Basel,St. Jakob,28000.0,Quarterfinals,Uruguay,URU,England,ENG,2,1,2,1,4,2,Uruguay,2.0,1.0,2.0,1.0,4.0,2.0,Quarterfinals,Quarterfinals,3.0,3.0,3.0
0,54,1192,208,1950-06-25,1950,Brazil,Rio de Janeiro,Maracanã - Estádio Jornalista Mário Filho,29703.0,Groups,England,ENG,Chile,CHI,1,0,1,0,2,0,England,1.0,0.0,1.0,0.0,2.0,0.0,Groups,Groups,1.0,1.0,1.0
