Opponent,Wins,Matches,Win %
Belgium,1.0,3,33.33%
Germany,0.0,3,0.00%
Ghana,1.0,3,33.33%
Italy,0.5,3,16.67%
Portugal,1.5,2,75.00%
England,1.5,2,75.00%
Algeria,1.0,1,100.00%
Paraguay,1.0,1,100.00%
Switzerland,0.5,1,50.00%
Spain,0.0,1,0.00%
South Korea,0.5,1,50.00%
Slovenia,0.5,1,50.00%
Romania,0.0,1,0.00%
Poland,0.0,1,0.00%
Iran,0.0,1,0.00%
Mexico,1.0,1,100.00%
Argentina,0.0,1,0.00%
Czechoslovakia,0.0,1,0.00%
Czech Republic,0.0,1,0.00%
Colombia,1.0,1,100.00%
Chile,0.0,1,0.00%
Brazil,0.0,1,0.00%
Austria,0.0,1,0.00%
Yugoslavia,0.0,1,0.00%
