,Average Result
Algeria,Groups
Angola,Groups
Argentina,Quarterfinals
Australia,Groups
Austria,Round of 16
Belgium,Round of 16
Bolivia,Groups
Bosnia and Herzegovina,Groups
Brazil,Semifinals
Bulgaria,Round of 16
Cameroon,Groups
Canada,Groups
Chile,Round of 16
China PR,Groups
Colombia,Round of 16
Costa Rica,Round of 16
Cote d'Ivoire,Groups
Croatia,Round of 16
Cuba,Quarterfinals
Czech Republic,Groups
Czechoslovakia,Quarterfinals
Denmark,Round of 16
Dutch West Indies,Groups
East Germany,Round of 16
Ecuador,Groups
Egypt,Groups
El Salvador,Groups
England,Quarterfinals
France,Quarterfinals
Germany,Semifinals
Ghana,Round of 16
Greece,Groups
Haiti,Groups
Honduras,Groups
Hungary,Quarterfinals
Iran,Groups
Iraq,Groups
Israel,Groups
Italy,Semifinals
Jamaica,Groups
Japan,Groups
Kuwait,Groups
Mexico,Round of 16
Morocco,Groups
Netherlands,Semifinals
New Zealand,Groups
Nigeria,Round of 16
North Korea,Round of 16
Northern Ireland,Round of 16
Norway,Groups
Paraguay,Round of 16
Peru,Round of 16
Poland,Round of 16
Portugal,Round of 16
Republic of Ireland,Round of 16
Romania,Round of 16
Russia,Groups
Saudi Arabia,Groups
Scotland,Groups
Senegal,Quarterfinals
Serbia,Groups
Slovakia,Round of 16
Slovenia,Groups
South Africa,Groups
South Korea,Round of 16
Soviet Union,Quarterfinals
Spain,Quarterfinals
Sweden,Quarterfinals
Switzerland,Round of 16
Togo,Groups
Trinidad and Tobago,Groups
Tunisia,Groups
Turkey,Quarterfinals
Ukraine,Quarterfinals
United Arab Emirates,Groups
United States,Round of 16
Uruguay,Quarterfinals
Wales,Quarterfinals
West Germany,Semifinals
Yugoslavia,Quarterfinals
Zaire,Groups
